Time, Pacing_rate_CB, Pacing_rate, CWIN, RTT
22002, 872647, 872647, 15360, 22002
45820, 947996, 947996, 16596, 21883
48689, 1035286, 1035286, 18038, 21779
48689, 1106226, 1106226, 19274, 21779
51559, 1182105, 1182105, 20510, 21688
51559, 1253342, 1253342, 21746, 21688
54428, 1329484, 1329484, 22982, 21608
54428, 1400985, 1400985, 24218, 21608
57297, 1477272, 1477272, 25454, 21538
57297, 1549006, 1549006, 26690, 21538
60167, 1625343, 1625343, 27926, 21477
60167, 1697280, 1697280, 29162, 21477
66864, 1773677, 1773677, 30398, 21423
66864, 1845796, 1845796, 31634, 21423
68866, 1971445, 1971445, 34106, 21625
70868, 2107610, 2107610, 36578, 21694
72870, 2233470, 2233470, 39050, 21855
74872, 2359633, 2359633, 41522, 21996
80878, 2315835, 2315835, 41522, 22412
84882, 2274829, 2274829, 41522, 22816
88886, 2221473, 2221473, 41522, 23364
92890, 2183713, 2183713, 41522, 23768
96894, 2114413, 2114413, 41522, 24547
98896, 2077595, 2077595, 41522, 24982
100898, 2028867, 2028867, 41522, 25582
102900, 1985710, 1985710, 41522, 26138
104902, 1935649, 1935649, 41522, 26814
106904, 1889699, 1889699, 41522, 27466
108081, 1842212, 1842212, 41522, 28174
110795, 1797551, 1797551, 41522, 28874
112502, 1876813, 1876813, 43994, 29301
114209, 1949077, 1949077, 46466, 29800
116175, 2023167, 2023167, 48938, 30236
118177, 1638709, 1638709, 50174, 30618
124183, 1599555, 1599555, 50386, 31500
136195, 1563948, 1563948, 50808, 32487
150601, 1529061, 1529061, 51300, 33550
155205, 1478863, 1478863, 51460, 34797
159809, 1438015, 1438015, 51619, 35896
164413, 1404007, 1404007, 51777, 36878
172470, 1365601, 1365601, 52054, 38118
173664, 683559, 683559, 26086, 38162
212841, 752145, 752145, 28565, 37978
212841, 377034, 377034, 14319, 37978
221331, 453487, 453487, 14883, 32819
226107, 519208, 519208, 15691, 30221
242525, 590243, 590243, 16080, 27243
258621, 666653, 666653, 16831, 25247
273058, 733960, 733960, 17549, 23910
286003, 802250, 802250, 18463, 23014
301684, 868430, 868430, 19333, 22262
319429, 936764, 936764, 20369, 21744
338869, 1004803, 1004803, 21546, 21443
360063, 1072746, 1072746, 22842, 21293
385483, 1140194, 1140194, 24407, 21406
406677, 1206737, 1206737, 25718, 21312
445136, 1274521, 1274521, 28158, 22093
484746, 1341239, 1341239, 30536, 22767
635570, 1308276, 1308276, 38237, 29227
944153, 1405448, 1405448, 49216, 35018
969261, 1484511, 1484511, 49216, 33153
