Time, Path-ID, Event, Pacing_rate, Receive Rate, CWIN, RTT
22002, 0, 23, 872647, 0, 15360, 22002
65579, 1, 23, 0, 0, 15360, 22002
65579, 1, 20,
68426, 0, 23, 877393, 70283, 15360, 21883
68426, 1, 23, 858791, 0, 15360, 22357
87581, 0, 23, 877393, 253342, 15360, 21883
113379, 0, 23, 873720, 1031103, 15360, 21975
113379, 1, 23, 854206, 770003, 15360, 22477
151362, 0, 23, 836273, 1251086, 15360, 22959
151362, 1, 23, 816118, 1251086, 15360, 23526
184521, 0, 23, 780202, 1251086, 15360, 24609
184521, 1, 23, 759613, 1251086, 15360, 25276
323690, 1, 23, 710321, 980645, 15360, 27030
366655, 0, 23, 772107, 1019244, 15360, 24867
400085, 1, 23, 733580, 1203094, 15360, 26173
442034, 0, 23, 783545, 863827, 15360, 24504
455282, 0, 23, 783545, 917380, 15360, 24504
484022, 0, 23, 780964, 1146725, 15360, 24585
522992, 0, 23, 799267, 1212996, 15360, 24022
528747, 0, 23, 799267, 824373, 15360, 24022
606935, 0, 23, 807333, 1251086, 15360, 23782
695605, 0, 23, 756262, 1251086, 15360, 25388
742839, 1, 23, 657376, 1251086, 15360, 29207
785426, 0, 23, 700193, 1251086, 15360, 27421
839230, 1, 23, 618238, 1074667, 15360, 31056
884248, 1, 23, 630210, 764498, 15360, 30466
926128, 1, 23, 640790, 840191, 15360, 29963
993242, 1, 23, 653216, 1143651, 15360, 29393
999434, 1, 23, 663235, 118281, 15360, 28949
1159758, 1, 22,
1159758, 0, 22,
