Time, Path-ID, Event, Pacing_rate, Receive Rate, CWIN, RTT
32041, 0, 23, 912547, 0, 15360, 21040
74146, 0, 23, 906506, 81878, 15399, 21234
75297, 1, 23, 0, 0, 15360, 21050
75297, 0, 23, 987033, 81878, 16823, 21305
75713, 1, 20,
78750, 0, 23, 1232184, 81878, 21095, 21400
81071, 0, 23, 1400240, 7035, 23943, 21374
84266, 0, 23, 1568486, 7035, 26791, 21351
87462, 0, 23, 1736850, 7035, 29639, 21331
96491, 0, 23, 1903743, 7035, 32487, 21331
96757, 1, 23, 912157, 56903, 15360, 21049
97685, 0, 23, 1989475, 7035, 33950, 21331
101095, 0, 23, 2156368, 7035, 36798, 21331
101095, 1, 23, 1186428, 83060, 20492, 21590
102265, 0, 23, 2239815, 17229, 38222, 21331
105460, 0, 23, 2406708, 17229, 41070, 21331
105460, 1, 23, 1373315, 83060, 25436, 23152
107762, 0, 23, 2573601, 17229, 43918, 21331
107762, 1, 23, 1437726, 83060, 27908, 24264
110064, 0, 23, 2732424, 17229, 46766, 21394
110064, 1, 23, 1512179, 83060, 30419, 25145
112366, 0, 23, 2840669, 17229, 49614, 21832
122289, 1, 23, 1646351, 83060, 33118, 25145
122289, 0, 23, 3143811, 17229, 58158, 23124
123440, 1, 23, 1717140, 83060, 34542, 25145
125742, 1, 23, 1858719, 19219, 37390, 25145
125742, 0, 23, 3306533, 17229, 62430, 23601
126893, 1, 23, 1929508, 19219, 38814, 25145
128044, 1, 23, 2000298, 19219, 40238, 25145
128044, 0, 23, 3363597, 20083, 65278, 24259
129195, 1, 23, 2071087, 19219, 41662, 25145
130346, 1, 23, 2141877, 19219, 43086, 25145
131497, 1, 23, 2212666, 19219, 44510, 25145
132880, 1, 23, 2283455, 19219, 45934, 25145
134527, 1, 23, 2354245, 19219, 47358, 25145
136174, 1, 23, 2516339, 19219, 50206, 24940
137822, 1, 23, 2588437, 19219, 51630, 24933
139469, 1, 23, 2654611, 19219, 53054, 24982
139999, 1, 23, 2753416, 19219, 54478, 24732
139999, 0, 23, 3374096, 20083, 79518, 29459
141116, 1, 23, 2834097, 19219, 55902, 24656
143483, 1, 23, 3031726, 19219, 58750, 24223
144634, 1, 23, 3135630, 19219, 60174, 23988
145309, 0, 23, 2670468, 20083, 86638, 32443
146936, 1, 23, 3272850, 19219, 63022, 24070
146936, 0, 23, 2619106, 20083, 86661, 33088
149238, 1, 23, 3374211, 34131, 65870, 24402
149238, 0, 23, 2528298, 20083, 86708, 34295
151064, 0, 23, 2445553, 20083, 86756, 35475
151540, 1, 23, 3456083, 34131, 68718, 24854
153619, 0, 23, 2367591, 20083, 86803, 36663
154993, 1, 23, 3579625, 34131, 72990, 25488
156144, 0, 23, 2312485, 20083, 86850, 37557
158727, 0, 23, 1152596, 20083, 43484, 37727
160429, 1, 23, 3649899, 34131, 78686, 26948
167658, 1, 23, 3743455, 34131, 88654, 29603
174565, 1, 23, 2961277, 34131, 97198, 32823
176173, 1, 23, 2905789, 34131, 97219, 33457
176862, 1, 23, 2852031, 34131, 97240, 34095
179581, 1, 23, 2757348, 34131, 97282, 35281
182948, 1, 23, 2665744, 34131, 97345, 36517
