Time, Path_id, Sending_rate_CB, Pacing_rate, Receive_Rate, CWIN, RTT
22002, 0, 23, 872647, 0, 15360, 22002
46704, 0, 23, 868463, 71995, 15360, 22108
46704, 0, 23, 1008232, 71995, 17832, 22108
48706, 0, 23, 1150446, 71995, 20304, 22061
50887, 0, 23, 1298044, 71995, 22776, 21933
53757, 0, 23, 1446313, 71995, 25248, 21821
56626, 0, 23, 1595083, 71995, 27720, 21723
65746, 0, 23, 1737329, 71995, 30192, 21723
67748, 0, 23, 1879574, 71995, 32664, 21723
69750, 0, 23, 2021820, 16705, 35136, 21723
71752, 0, 23, 2164065, 16705, 37608, 21723
73754, 0, 23, 2306311, 16705, 40080, 21723
75756, 0, 23, 2448556, 16705, 42552, 21723
85766, 0, 23, 2359176, 16705, 42552, 22546
93774, 0, 23, 2288824, 29761, 42552, 23239
97778, 0, 23, 2203214, 29761, 42552, 24142
101782, 0, 23, 2103119, 29761, 42552, 25291
105786, 0, 23, 1998572, 29761, 42552, 26614
107519, 0, 23, 1907271, 29761, 42552, 27888
109063, 0, 23, 1996452, 29761, 45024, 28190
111065, 0, 23, 2068352, 29761, 47496, 28704
115069, 0, 23, 2200993, 29761, 52440, 29782
117071, 0, 23, 2271193, 29761, 54912, 30222
119073, 0, 23, 2343581, 29761, 57384, 30607
121075, 0, 23, 2417916, 29761, 59856, 30944
123077, 0, 23, 2493997, 29761, 62328, 31239
125079, 0, 23, 1978855, 94138, 62328, 31497
144741, 0, 23, 1898574, 94138, 62877, 33118
151647, 0, 23, 1820919, 94138, 63073, 34638
156251, 0, 23, 1748934, 94138, 63203, 36138
158553, 0, 23, 855081, 94138, 31650, 37014
209940, 0, 23, 886912, 15231, 34155, 38510
221450, 0, 23, 953180, 15231, 34752, 36459
247506, 0, 23, 1034557, 8933, 35745, 34551
271258, 0, 23, 1114747, 8933, 36654, 32881
298673, 0, 23, 1201782, 9230, 37760, 31420
324034, 0, 23, 1288368, 9548, 38834, 30142
347613, 0, 23, 1373940, 10878, 39880, 29026
370661, 0, 23, 1453530, 10878, 40898, 28137
399436, 0, 23, 1524438, 9518, 42137, 27641
462741, 0, 23, 1448599, 9556, 44740, 30885
618126, 0, 23, 1438942, 9556, 50563, 35139
658411, 0, 23, 1372375, 9556, 51965, 37865
698696, 0, 23, 684876, 9556, 26665, 38934
744718, 0, 23, 754622, 9556, 29668, 39315
762186, 0, 23, 820550, 9556, 30490, 37158
784803, 0, 23, 889852, 9513, 31289, 35162
804028, 0, 23, 959689, 9513, 32069, 33416
829891, 0, 23, 1029508, 9201, 32830, 31889
853641, 0, 23, 1106899, 10180, 33818, 30552
881111, 0, 23, 1191681, 9734, 35014, 29382
906571, 0, 23, 1275468, 9734, 36171, 28359
932666, 0, 23, 1368225, 8921, 36455, 26644
